id,name,short_description,long_description,address,point_of_contact,phone_1,phone_2,phone_3,email_1,email_2,email_3,website,hours,extra_info,categories,lat,lon
00000252,Hart Park House Senior Center,"Lunch program, extracurricular activities and other services. Call for details.",,"222 Sierra Madre Blvd, Sierra Madre, CA 91024",,(626) 355-7394,,,,,,www.cityofsierramadre.com,,,senior services,34.161667,-118.057277
00000253,Pasadena Senior Center,"Educational and social events, recreational and volunteer opportunities and other basic services",,"85 E Holly St, Pasadena, CA 91103",,(626) 795-4331,,,,,,www.pasadenaseniorcenter.org,,,senior services,34.1478774,-118.1486
00000254,Huntington Senior Care Network,Assists families in the care of aging relatives and disabled adults.,,"837 S Fair Oaks Ave #100, Pasadena, CA 91105",,(626) 397-3110,,,,,,www.huntingtonhospital/SCN,,,senior services,34.131323,-118.1507374
00000255,Huntington Senior Care Network,Nationally recognized not-for-profit program that has helped older adults and adults with disabilities and their families ,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-3110,,,,,,,,,senior services,34.133639,-118.152753
00000256,Los Angeles Long-Term Care Ombudsman Program,"Advocates for residents of nursing homes, board and care homes, assisted living facilities and similar adult care facilities",,"2555 E Colorado Blvd #203, Pasadena, CA 91107",,(626) 793-3510,,,,,,,,,senior services,34.1464374,-118.0978064
00000257,Rebuilding Together Pasadena,"Refurbishing of homes of qualified elderly, disabled, and very low income homeowners",,"570 E Orange Grove Blvd, Pasadena, CA 91104",,(626) 798-6176,,,,,,,,,senior services,34.157431,-118.138903
00000258,National Association for Hispanic Elderly,Social services and employment training program for seniors 55+.,,"234 E Colorado Blvd #300, Pasadena, CA 91101",,(626) 564-1988,,,,,,,,,senior services,34.1456176,-118.1456357
00000259,Altadena Senior Center,We provide a comprehensive program that meets the needs of our senior population.,,"560 E Mariposa St, Altadena, CA 91001",,(626) 798-0505,,,,,,css.lacounty.gov.,,,senior services,34.189246,-118.137832
00000260,SET for LIFE,Education and training that leads to information to access programs and services,,"710 S Myrtle Ave #294, Monrovia, CA 91016",,(626) 386-8071,,,info@setforlifenews.org,,,,,,senior services,34.1444286,-118.0007574
00000261,Grandparents as Parents,Support groups,,"851 N Oakland Ave, Pasadena, CA 91104",,(818) 264-0880 ext 511,,,info@grandparentsasparents.org,,,,,,senior services,34.1603282,-118.1407842
00000262,Arcadia Senior Citizen Services,Services include information and referrals,,"365 Campus Dr, Arcadia, CA 91007",,(626) 574-5130,,,,,,ci.arcadia.ca.us,,,senior services,34.1316309,-118.0436878
00000263,South Pasadena Senior Center,Full service community center available for individuals 55 or  older.,,"1102 Oxley St, South Pasadena, CA 91030",,(626) 403-7360,,,,,,ci.south-pasadena.ca.us/seniorcenter,,,senior services,34.1141389,-118.1554611
00000264,Armenian Relief Society Social Services,"General Social Services to low, moderate income families with language barriers.",,"740 E Washington Blvd, Pasadena, CA 91104",,(626) 797-6208,,,,,,www.arswestusa.org,,,reintegration,34.1686614,-118.1351676
00000265,Pasadena Council-Alcoholism And Drug Dependence,Substance Abuse services,,"1245 E Walnut St #117, Pasadena, CA 91106",,(626) 795-9127,,,,,,www.socialmodel.com,,,substance abuse recovery,34.1498012,-118.124605
00000266,L A County Public Social Services,"Nutrition assistance, employment services and supportive services, financial and homeless assistance program, In-Home Supportive Services, financial aid and homeless assistance",,"955 N Lake Ave, Pasadena, CA 91104",,(626) 791-6333,,,,,,,,,nutrition education,34.1623786,-118.1328372
00000267,Hillsides Education Center,Foster care services,,"940 Avenue 64, Pasadena, CA 91105",,(323) 254-2274 ,,,,,,,,,foster care,34.1244844,-118.1758621
00000268,GIVE THE STREETS BACK !,Youth intervention program,,,,(626) 791-1855,,,,,,,,,mentoring,,
00000269,Los Angeles County Children,"Child safety, Permanency, Access to Effective and caring service",,"532 E Colorado Blvd, Pasadena, CA 91101",,(626) 229-3500,,,,,,,,,abuse counseling,34.1454885,-118.1391548
00000270,Victim Witness Assistance Program,Services for crime victims,,"300 E Walnut St #103, Pasadena, CA 91101",,(626) 356-5727,,,,,,,,,abuse counseling,34.1489916,-118.1435414
00000271,Pasadena Host Lions Club ,Community service organization,,"175 N Oakland Ave, Pasadena, CA 91101",,(626) 793-5157,,,,,,,,,community programs,34.148823,-118.140365
00000272,Pasadena NAACP,"Political, educational, social, and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination",,"595 Lincoln Ave #103, Pasadena, CA 91103",,(626) 793-1293,,,,,,,,,legal services,34.155003,-118.1547242
00000273,The Salvation Army Pasadena Tabernacle Corps  Social Service program,"Emergency short-term assistance, information and/or referrals for continuing or long-term help",,"1000 E Walnut St #102, Pasadena, CA 91106",,(626) 773-4400,,,,,,,,,reintegration,34.1493046,-118.1297902
00000274,Pasadena Social Security Office,Information and resources regarding social security,,"104 N Mentor Ave, Pasadena, CA 91106",,(800) 772-1213,,,,,,,,,financial aid,34.1476708,-118.1305245
00000275,"Pasadena Social Services, L.L.C.",A free online resource for social services in the Pasadena area,,,,,,,,,,www.PasadenaSocialServices.com,,,financial aid,,
00000276,Alcoholism Center For Women,Residential substance abuse treatment. Call for Details.,,"1147 S Alvarado St, Los Angeles, CA 90006",,(213) 381-8500,,,,,,,,,substance abuse recovery,34.0491436,-118.2819185
00000277,California Drug Counseling,"Outpatient education, counseling and support to individuals with alcohol and substance abuse problems",,"671 E Walnut St, Pasadena, CA 91101",,(626) 844-0410,,,,,,,,,substance abuse recovery,34.149727,-118.1366087
00000278,Casa Maria,Offers substance abuse treatment and halfway house ,,"691 E Washington Blvd, Pasadena, CA 91104",,(626) 296-8689,,,,,,,,,substance abuse recovery,34.169275,-118.1361
00000279,Pasadena Council On Alcoholism ,"Assessment, evaluation, treatment planning, resources, supervised implementation of the plan, monitored 12-step meeting attendance, education on addition topics and issues, facilitated recovery support groups, and weekly individual counseling and case management",,"1245 E Walnut St #117, Pasadena, CA 91106",,(626) 795-9127,,,,,,,,,substance abuse recovery,34.1498012,-118.124605
00000280,"Grandview Foundation, Inc.",Addiction recovery services,,"1230 Marengo Ave, Pasadena, CA 91103",,(626) 798-0884,(866) 734-4200,,,,,,,,substance abuse recovery,34.167027,-118.145753
00000281,Impact Drug & Alcohol Treatment Center,Residential Short-Term Treatment and Residential Long-Term Treatment,,"1680 N Fair Oaks Ave, Pasadena, CA 91103",,(323) 681-2575,,,,,,http://impacthouse.com/,,,substance abuse recovery,34.1749284,-118.1502725
00000282,Alcoholics Anonymous Meeting,Free Services. Meeting places vary.,,"585 E Colorado Blvd, Pasadena, CA 91101",,(626) 793-2191,,,,,,http://www.simeetings.com/LA/PasadenaMtgs.html,,,substance abuse recovery,34.1462613,-118.1389268
00000283,Aegis Treatment Centers,"Substance Abuse Treatment, Detoxification, Methadone Maintenance, and Methadone Detoxification",,"1450 N Lake Ave #150, Pasadena, CA 91104",,(626) 794-1161,,,,,,,,,substance abuse recovery,34.1711391,-118.1318039
00000284,City of Pasadena Substance Abuse Prevention and Treatment (SAPT) Program,Non-residential substance abuse recovery programs and services.,,"1845 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-6001,,,,,,,,,substance abuse recovery,34.1777736,-118.1511928
00000285,Celebrate Recovery,"Christ-centered, 12-step recovery program, support groups for all types of addictions",,"404 E Washington Blvd, Pasadena, CA 91104",,(626) 794-2951,,,,,,,,,substance abuse recovery,34.1685682,-118.1423209
00000286,Walter Hoving Home,"Christian-based, 12 month addiction, prostitution rehab home for adult women",,"127 S El Molino Ave, Pasadena, CA 91101",,(626) 405-0950,,,,,,,,,substance abuse recovery,34.143529,-118.1372837
00000287,Eaton Canyon Treatment Center,"Men only, inpatient services",,"3323 Fairpoint St, Pasadena, CA 91107",,(626) 798-0150,,,,,,,,,substance abuse recovery,34.1736612,-118.0821284
00000288,The High Road Program,"Outpatient counseling and education, court mandated DUI, DV, anger management and drug programs, Spanish programs offered",,"700 S Arroyo Pkwy, Pasadena, CA 91105",,(626) 793-6159,,,,,,,,,substance abuse recovery,34.1336462,-118.1469032
00000289,Pasadena Recovery Center,"Residential short-term treatment (30 days or less) and long-term treatment (more than 30 days), outpatient, partial hospitalization, day treatment",,"1811 N Raymond Ave, Pasadena, CA 91103",,(866) 663-3030,,,,,,,,,substance abuse recovery,34.1768699,-118.1494844
00000290,Angels Way Sober Living,Sober Living,,"166 Mar Vista Ave, Pasadena, CA 91106",,(626) 808-3488,(626) 720-3263,,angelswaysoberliving@yahoo.com,,,www.angelswaysoberliving.com,,,substance abuse recovery,34.1488493,-118.1264065
00000291,Aurora Las Encintas Hospital,"Psychiatric services, Chemical Depedency Treatment",,"2900 E Del Mar Blvd, Pasadena, CA 91107",,(800) 792-2345,(626) 795-9901,,,,,www.lasencinashospital.com,,,substance abuse recovery,34.141656,-118.091085
00000292,Casa de las Amigas,"Primary Treatment Program, Outpatient Program, Sober Living (Casita)",,"160 N El Molino Ave, Pasadena, CA 91101",,(323) 681-8304,(626) 792-2770,,,,,www.casadelasamigas.org,,,substance abuse recovery,34.1487732,-118.1367094
00000293,Claremont Brown House,For Men,,,,(626) 797-1124,,,,,,,,,substance abuse recovery,,
00000294,Clearview Residential,For Men,,,,(626) 696-3445,,,,,,,,,substance abuse recovery,,
00000295,City of Pasadena Housing Department,Pasadena Housing & Homeless Network,,"649 Fair Oaks Ave #202, Pasadena, CA 91103",,(626) 744-8301,,,housingdept@cityofpasadena.net,,,,,,substance abuse recovery,34.1570821,-118.150584
00000296,Eaton Canyon Foundation,Residential Treatment,,"3323 Fairpoint St, Pasadena, CA 91107",,(888) 798-0150,,,info@eatoncanyon.com,,,,,,substance abuse recovery,34.1736612,-118.0821284
00000297,Elijah's House,Structured Recovery/Sober Living,,"1617 Asbury Dr, Pasadena, CA 91104",,(626) 394-9565,,,,,,,,,substance abuse recovery,34.1669493,-118.1170967
00000298,ECPAC/Pasadena Bad Weather Shelter,"Shelter, November-March, 8pm - 7am",,"539 N Lake Ave, Pasadena, CA 91101",,(888) 915-8111 ,,,,,,,,,substance abuse recovery,34.1553733,-118.1327784
00000299,Friends in Deed,"Shelter, Motel vouchers for those who meet program guidelines with agency referral",,"444 E Washington Blvd, Pasadena, CA 91104",,(626) 797-6072,,,,,,,,,substance abuse recovery,34.1687151,-118.1413359
00000300,Foothill Unity Center,Shelter,,"191 N Oak Ave, Pasadena, CA 91107",,(626) 584-7420,,,,,,http://www.ecpac.net/resources.html,,,shelter,34.1495915,-118.107847
00000301,"Grace Community Houses I, II, and III",Shelter,,,,(213) 595-4400,,,,,,http://www.ecpac.net/resources.html,,,shelter,,
00000302,Jim Fair Oaks House,Shelter,,,,(626) 316-3150,,,,,,,,,shelter,,
00000303,Jubilee House,Sober Living For Women,,,,(626) 791-5902,(916) 835-2831,(818) 424-0890,info@pasadenasoberliving.com,,,www.pasadenasoberliving.com,,,substance abuse recovery,,
00000304,Marilyn Manor,Sober Living,,"2120 El Sereno Ave, Altadena, CA 91001",,(310) 590-9734,(562) 397-3366,,,,,http://marilynmanor.blogspot.com/,,,substance abuse recovery,34.1822026,-118.1521132
00000305,Moore Sober Living Home,Sober Living For Women,,"943 Marengo Ave, Pasadena, CA 91103",,(626) 376-6440,,,,,,,,,substance abuse recovery,34.162045,-118.146515
00000306,Oxford House I,Sober Living,,"1628 N Oxford Ave, Pasadena, CA 91104",,(626) 216-0979,,,,,,www.oxfordsoberliving.com,,,substance abuse recovery,34.1740595,-118.1163812
00000307,Pasadena Housing Search,Pasadena Housing Resource Center,,,,(877) 428-8844,,,,,,www.pasadenahousingsearch.com,,,substance abuse recovery,,
00000308,Pasadena Recovery Center,"Residential Program, Outpatient Program",,"1811 N Raymond Ave, Pasadena, CA 91103",,(866) 633-3030,,,info@pasadenarecoverycenter.net,,,,,,substance abuse recovery,34.1768699,-118.1494844
00000309,RAF Kenneth House,Sober Living For Men,,P.O. Box 91504,,(626) 216-5427,,,,,,http://recoveryalliancefoundation.org,,,substance abuse recovery,34.2053511,-118.3286614
00000310,Stages,Sober Living Homes in various locations through-out Pasadena & Altadena,,,,(626) 794-7575,,,,,,http://stages.community.officelive.com,,,substance abuse recovery,,
00000311,Starting Over Sober Living,Sober Living For Men,,"25 N Craig Ave, Pasadena, CA 91107",,(626) 405-9131,,,,,,,,,substance abuse recovery,34.1466116,-118.1062276
00000312,The Gooden Center,"Intensive Outpatient treatment, Residential Treatment, Day Treatment, After Care, Family Care, Sober Living For Men",,"191 N El Molino Ave, Pasadena, CA 91101",,(800) 931-9884,,,,,,www.goodencenter.org,,,substance abuse recovery,34.1491988,-118.137288
00000313,The Marengo House,Sober Living,,,,(626) 482-6574,,,,,,,,,substance abuse recovery,,
00000314,Uncle Daves Transitional Sober Living,Sober living,,"1788 N Summit Ave, Pasadena, CA 91103",,(424) 652-1191,,,,,,Uncledavessummit.sobernexus.com,,,substance abuse recovery,34.1765627,-118.1473632
00000315,Yolanda’s Place,"Residential Treatment, Sober Living For Men",,"1510 Marengo Ave, Pasadena, CA 91103",,,,,,,,,,,substance abuse recovery,34.171866,-118.145807
00000316,The Gooden Center ,"Men only, inpatient and outpatient, sober living support services.",,"191 N El Molino Ave, Pasadena, CA 91101",,(626) 356-0078,,,,,,,,,substance abuse recovery,34.1491988,-118.137288
00000317,Salvation Army Adult Rehabilitation Center,"Christian, long-term residential rehab program, 12-Step, group counseling, education, recreation",,"56 W Del Mar Blvd, Pasadena, CA 91105",,(626) 795-8075,,,,,,,,,substance abuse recovery,34.1405713,-118.1517153
00000318,Huntington Hospital-Chemical Dependency Recovery Center,Inpatient recovery services,,"100 W California Blvd, Pasadena, CA 91105",,(626) 397-2323,,,,,,,,,substance abuse recovery,34.133639,-118.152753
00000319,"California Drug Counseling, Inc.","Outpatient counseling, prevention, education, job screening and placement, transportation, drug testing for ex-offenders and incarcerated/paroled youth/adults, other underserved populations",,"659 E Walnut St, Pasadena, CA 91101",,(626) 844-0410,,,,,,,,,substance abuse recovery,34.1497267,-118.1366384
00000320,CHOICES,Sensitive substance abuse services for women 18+. Call for details.,,"1460 N Lake Ave #105, Pasadena, CA 91104",,(626) 398-3796,,,,,,,,,substance abuse recovery,34.1713121,-118.1318722
00000321,Pasadena Public Health Dept. Recovery Center,Substance abuse and alcoholism counseling.,,"1845 N Fair Oaks Ave #1508, Pasadena, CA 91103",,(626) 744-6001,,,,,,www.cityofpasadena.net/publichealth,,,substance abuse recovery,34.1777736,-118.1511928
00000322,The Walter Hoving Home,Individual and group counseling with others who have encountered similar struggles.,,"127 S El Molino Ave, Pasadena, CA 91101",,(626) 405-0950,,,whhca@walterhovinghome.com.,,,,,,substance abuse recovery,34.143529,-118.1372837
00000323,Dial-A-Ride/Park Center Building,Senior/Disabled curb-to-curb transportation service provided for San Gabriel Area,,"221 E Walnut St #199, Pasadena, CA 91101",,(626) 744-4094,,,,,,www.cityofpasadena.net/DAR,,,transportation,34.1500068,-118.1455585
00000324,ARTS (Area Rapid Transit System),Designed to provide convenient transportation,,"221 E Walnut St #199, Pasadena, CA 91101",,(626) 744-4055,,,,,,www.cityofpasadena.net/artsbus,,,transportation,34.1500068,-118.1455585
00000325,Pasadena City College Veterans' Resource Center,Help all student Veterans and Military college admittal. Call for details.,,"1570 E Colorado Blvd l113, Pasadena, CA 91106",,(626) 585 7294,,,tdpowell@pasadena.edu,,,,,,veterans,34.1439329,-118.119168
00000326,Veterans Crisis line,24 hour National Suicide Prevention Lifeline,,,,(800) 273-8255,,,,,,,,,veterans,,
00000327,Veterans Project/L.A. County B.A.R. Association,Legal services the areas of Expungement Assistance,,"1816 S Figueroa St, Los Angeles, CA 90015",,(626) 744-4055,,,,,,www.lacba.org/veterans,,,veterans,34.035202,-118.271033
00000328,Volunteers of America,Resources for veterans and veterans who have been incarcerated,,"240 N Breed St, Los Angeles, CA 90033",,(213) 622-3540,,,voajobs2@aol.com,,,,,,veterans,34.0465897,-118.2089926
00000329,California Safe At Home Program,"Protection services for victims and survivors of domestic violence, stalking or sexual assault",,P.O. Box 846,,(877) 322-5227,,,,,,www.sos.ca.gov/safeathome,,,"safe houses,abuse counseling,women's programs",,
00000330,Fuller Psychological and Family Services,Outpatient counseling and support groups,,"180 N Oakland Ave, Pasadena, CA 91101",,(626) 584-5555,,,,,,,,,"safe houses,abuse counseling,women's programs",34.1491846,-118.1394557
00000331,LA Commission on Assaults Against Women,Counseling for victims of domestic violence. ,,"764 E Walnut St #201, Pasadena, CA 91101",,(626) 585-9166,,,,,,,,,"safe houses,abuse counseling,women's programs",34.1495563,-118.1347718
00000332,L.A. County Dept. of Children and Family Services,Protective services for abused or neglected children,,"532 E Colorado Blvd, Pasadena, CA 91101",,(626) 229-3500,,,,,,,,,"safe houses,abuse counseling,women's programs",34.1454885,-118.1391548
00000333,Survivors of Murdered Children,Monthly grief support group,,"211 S 1st St, Alhambra, CA 91801",,(626) 298-9054,,,tinayyama@att.net.,,,,,,"safe houses,abuse counseling,women's programs",34.0919706,-118.1266652
00000334,Pasadena Police Department,Non-emergency,,"207 Garfield Ave, Pasadena, CA 91101",,(626) 744-4241,,,,,,,,,police,34.1491349,-118.1448262
00000335,Peace Over Violence,Services for survivors of sexual assault . Call for details.,,"892 N Fair Oaks Ave D, Pasadena, CA 91103",,(626) 584-6191,,,,,,www.peaceoverviolence.org,,,abuse counseling,34.1610795,-118.1504012
00000336,Parents of Murdered Children (POMC),"On-going emotional support, education, prevention, advocacy, and awareness.",,P.O. Box 70216,,(626) 221-5737,,,,,,,,,abuse counseling,,
00000337,National Human Trafficking Resource Center (NHTRC),Resourcing for anti-trafficking causes. Call for more information.,,,,(888) 373-7888,,,,,,www.polarisproject.org,,,abuse counseling,,
00000338,Shepherd’s Door Domestic Violence  Resource Center,Emergency shelter for domestic violence victims and families,,P.O. Box 92429,,(888) 979-8884,,,,,,,,,safe houses,,
00000339,American Association of University Women Pasadena Branch,Service for equity for women and girls.,,P.O. Box 94309,,,,,,,,aauwpasadena.wordpress.com,,,women programs,37.42,-122.17
00000340,Council of Women’s Clubs,Promote and recognize activities relating to women,,"160 N Oakland Ave, Pasadena, CA 91101",,,,,,,,,,,women programs,34.1487175,-118.139522
00000341,Fifty/Fifty Leadership,Organization for women,,"2555 E Colorado Blvd #204, Pasadena, CA 91107",,(818) 243-2322,,,,,,,,,women programs,34.1464374,-118.0978064
00000342,La Leche League of California,Breast Feeding Education,,"1240 Nithsdale Rd, Pasadena, CA 91105",,(626) 403-0630,,,,,,,,,women programs,34.1357073,-118.1757338
00000343,League of Women Voters Pasadena Area,Presentation  forums on issues of local interest and candidates,,"1353 N Hill Ave, Pasadena, CA 91104",,(626) 798-0965,,,office@lwvpasadenaarea.org,,,,,,women programs,34.1694624,-118.121747
00000344,City of Pasadena Commission of the Status of Women,Meets 2nd Monday of each month. Recommending programs and legislation to promote and insure equal rights and opportunities for all women in Pasadena,,"1020 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 744-7084,,,,,,,,,women programs,34.1635931,-118.1501538
00000345,Pasadena Commission on the Status of Women,Studies and examines conditions which suggest discrimination or prejudice.  For more details call.,,"363 E Villa St, Pasadena, CA 91101",,(626) 744-6530,,,,,,,,,women programs,34.154688,-118.1428055
00000346,Soroptimist International of Altadena/Pasadena,Improving the lives of women and girls in local communities and throughout the world,,P.O. Box 66,,(626) 794-4103,,,,,,www.caminorealregion.org/mppasadena.htm,,,women programs,,
00000347,Women’s Room at Friends in Deed,A daytime refuge for women homeless or facing homelessness,,"444 E Washington Blvd, Pasadena, CA 91104",,(626) 797-2402,,,info@ecpac.net,,,,,,women programs,34.1687151,-118.1413359
00000348,Zonta Club of Pasadena,Club assist in volunteer programs and club based program,,"7447 S Grand Ave, Los Angeles, CA 90003",,(626) 799-1880,,,,,,www.zontapasadena.org,,,women programs,33.9722747,-118.2803517
